Restaurant,Type
Abner's Famous Chicken Tenders ,Casual Dining
Applebees,Casual Dining
Applebee's ,Casual Dining
Bahama Breeze ,Casual Dining
Baker's Square ,Casual Dining
Benihana ,Casual Dining
Bennigans Grill & Tavern ,Casual Dining
Bertucci's ,Casual Dining
Big Boy,Casual Dining
Black Angus Steakhouse ,Casual Dining
Bob Evans Restaurant ,Casual Dining
Bonefish Grill ,Casual Dining
Bubba Gump Shrimp Company ,Casual Dining
Buca di Beppo ,Casual Dining
California Pizza Kitchen ,Casual Dining
Carlos'n Charlie's  ,Casual Dining
carino ,Casual Dining
Carrabba's Italian Grill ,Casual Dining
Carrows ,Casual Dining
Cheddar's Restaurant,Casual Dining
Cheescake Factory,Casual Dining
Cheesecake Factory ,Casual Dining
Chevys Fresh Mex ,Casual Dining
chilis ,Casual Dining
Chili's ,Casual Dining
Claim Jumper ,Casual Dining
Coco's Bakery ,Casual Dining
Cracker Barrel ,Casual Dining
crispers ,Casual Dining
Damons,Casual Dining
Dennys,Casual Dining
Denny's,Casual Dining
Earls  ,Casual Dining
Elephant bar  ,Casual Dining
El Rodeo ,Casual Dining
El Torito ,Casual Dining
Famous Dave's ,Casual Dining
Famous Daves,Casual Dining
Fatz Cafe ,Casual Dining
Fleming's Prime Steakhouse & Wine Bar ,Casual Dining
Frischs,Casual Dining
Golden Corral ,Casual Dining
Grand Lux,Casual Dining
Granite City,Casual Dining
Hackney's ,Casual Dining
Happy Chef ,Casual Dining
Hard Rock Cafe ,Casual Dining
Hooters ,Casual Dining
Hops Restaurant and Bar ,Casual Dining
Houlihan's ,Casual Dining
Howard Johnson's ,Casual Dining
Hurricane Grill & Wings ,Casual Dining
International house of pancakes ,Casual Dining
Islands Restaurant,Casual Dining
Jim's Restaurants ,Casual Dining
Jim N NIcks ,Casual Dining
Jim & NIcks ,Casual Dining
Jimmy Buffett's ,Casual Dining
Joe's Crab Shack ,Casual Dining
La Madeleine ,Casual Dining
Logan's Roadhouse ,Casual Dining
Lone Star Steakhouse & Saloon ,Casual Dining
Longhorn ,Casual Dining
Marie Callender's ,Casual Dining
Maggianos Little Italy,Casual Dining
Max & Ermas,Casual Dining
McGraths,Casual Dining
Mimi's Cafe ,Casual Dining
O'Charley's ,Casual Dining
Olive Garden ,Casual Dining
On the Border ,Casual Dining
Outback Steakhouse ,Casual Dining
P F Changs ,Casual Dining
PF Changs ,Casual Dining
P.F. Changs ,Casual Dining
Parnello's Pizza ,Casual Dining
Pei Wei Asian Diner ,Casual Dining
Perkins Restaurant,Casual Dining
Piccadilly Pub  ,Casual Dining
Pick Up Stix Fresh Asian Kitchen ,Casual Dining
Pizza Joint ,Casual Dining
Pizzaria Uno,Casual Dining
PJ Harrigan's ,Casual Dining
PoFolks ,Casual Dining
Ponderosa Steakhouse ,Casual Dining
Quaker Steak & Lube ,Casual Dining
Rainforest Cafe ,Casual Dining
Red Lobster ,Casual Dining
Red Robin ,Casual Dining
Rockfish  ,Casual Dining
Romano's Macaroni  ,Casual Dining
Ruby Tuesday ,Casual Dining
Santa Fe Cattle ,Casual Dining
Senor Frogs ,Casual Dining
Shoney's ,Casual Dining
Sizzler ,Casual Dining
Smokey Bones  ,Casual Dining
Sonny's Real Pit Bar-B-Q ,Casual Dining
Strings Italian Cafe ,Casual Dining
TGI Fridays ,Casual Dining
T.G.I. Friday's ,Casual Dining
Texas Roadhouse ,Casual Dining
The Old Spaghetti Factory ,Casual Dining
Tony Roma's ,Casual Dining
Tumbleweed,Casual Dining
Uno Chicago Grill ,Casual Dining
Village Inn ,Casual Dining
Wangs ,Casual Dining
Caribou Coffee ,coffee
Coffee Bean & Tea Leaf ,coffee
Coffee Beanery ,coffee
Dunn Bros. Coffee ,coffee
Peet's Coffee ,coffee
Port City Java ,coffee
Seattle's Best ,coffee
Starbucks,coffee
Starbuck's,coffee
Tim Horton ,coffee
Tim Hortons,coffee
Tim Horton's,coffee
Tim Horton's Restaurant,coffee
Tully's ,coffee
Atlanta Bread Company ,Fast Casual
Au Bon Pain ,Fast Casual
Back Yard Burgers ,Fast Casual
Baja Fresh ,Fast Casual
Bear Rock ,Fast Casual
Boston Market ,Fast Casual
Bruegger's ,Fast Casual
Buffalo Wild Wings ,Fast Casual
California Tortilla ,Fast Casual
Charley's Grilled Subs ,Fast Casual
Chicken Out Rotisserie ,Fast Casual
Chipotle ,Fast Casual
Corner Bakery Cafe ,Fast Casual
Cosi ,Fast Casual
Culver's ,Fast Casual
Damon's Grill ,Fast Casual
Daphne's Greek Cafe ,Fast Casual
Dickey's Barbecue Pit ,Fast Casual
Farmer Boys,Fast Casual
Fazoli's ,Fast Casual
Five Guys Burgers & Fries ,Fast Casual
Freebirds ,Fast Casual
Fuddruckers ,Fast Casual
Jason's Deli ,Fast Casual
Jimmy John's ,Fast Casual
McAlister's Deli ,Fast Casual
Moe's Southwest Grill ,Fast Casual
Noodles & Company ,Fast Casual
Panda Express,Fast Casual
Panera Bread,Fast Casual
Penn Station ,Fast Casual
Pick Up Stix ,Fast Casual
Pollo Campero ,Fast Casual
Portillo's ,Fast Casual
Potbelly Sandwich Works ,Fast Casual
Qdoba Mexican Grill ,Fast Casual
Rax Roast Beef ,Fast Casual
Rubio's Fresh Mexican Grill ,Fast Casual
Rumbi Island Grill ,Fast Casual
Schlotzsky's ,Fast Casual
Skyline Chili ,Fast Casual
Spicy Pickle ,Fast Casual
Stewart's Drive-In ,Fast Casual
Taco John's ,Fast Casual
Tijuana Flats ,Fast Casual
Vapiano ,Fast Casual
waffle house,Fast Casual
Which Wich ,Fast Casual
Wings To Go ,Fast Casual
Wingstop ,Fast Casual
Zankou Chicken ,Fast Casual
Zaxby's,Fast Casual
Zoes Kitchen ,Fast Casual
A&W  ,Fast Food
Amigos/Kings Classic ,Fast Food
Arbys,Fast Food
Arby's,Fast Food
Arctic Circle  ,Fast Food
Arthur Treacher's ,Fast Food
Baker's Drive-Thru ,Fast Food
Bess Eaton ,Fast Food
Big Apple Bagels ,Fast Food
Biscuitville ,Fast Food
Blake's Lotaburger ,Fast Food
Blimpie ,Fast Food
Bojangles,Fast Food
Bojangles'  ,Fast Food
Brown's Chicken & Pasta ,Fast Food
Burger King ,Fast Food
Burger Street ,Fast Food
Burgerville ,Fast Food
Cafe Rio ,Fast Food
Captain D's ,Fast Food
Carls Jr,Fast Food
Carl's Jr,Fast Food
Carl's Jr. ,Fast Food
Checkers ,Fast Food
Cheeburger Cheeburger ,Fast Food
Chick Fil A ,Fast Food
Chick-fil-A ,Fast Food
Chinese Gourmet Express ,Fast Food
Church's Chicken ,Fast Food
Cluck-U Chicken ,Fast Food
Cook Out ,Fast Food
Crown Burgers ,Fast Food
Dairy Queen ,Fast Food
Del Taco ,Fast Food
Dick's Drive-In ,Fast Food
Dog n Suds ,Fast Food
Dunkin' Donuts ,Fast Food
Einstein  ,Fast Food
El Pollo Loco ,Fast Food
Erbert & Gerbert's ,Fast Food
Fatburger ,Fast Food
Firehouse Subs ,Fast Food
Freddy's Frozen Custard ,Fast Food
Gold Star Chili ,Fast Food
Golden Chick ,Fast Food
Golden Spoon ,Fast Food
Good Times Burgers & Frozen Custard ,Fast Food
Grandy's ,Fast Food
Gray's Papaya ,Fast Food
Great Steak ,Fast Food
Green Burrito ,Fast Food
Griff's Hamburgers ,Fast Food
Halo Burger ,Fast Food
Hamburger Station ,Fast Food
Happi House ,Fast Food
Happy Joe's ,Fast Food
Hardee's ,Fast Food
Harold's Chicken Shack ,Fast Food
Hogi Yogi ,Fast Food
Honey Dew Donuts ,Fast Food
Hot 'n Now ,Fast Food
Hot Dog on a Stick ,Fast Food
Huddle House ,Fast Food
In-N-Out Burger ,Fast Food
Ivar's ,Fast Food
jack-in-the-box,Fast Food
Jack in the Box ,Fast Food
Jack's ,Fast Food
Jersey Mike's Subs ,Fast Food
Jimboy's Tacos ,Fast Food
Johnny Rockets ,Fast Food
Juan Pollo ,Fast Food
Kennedy Fried Chicken ,Fast Food
Kentucky Fried Chicken ,Fast Food
KFC/A,Fast Food
KFC ,Fast Food
Krispy Kreme ,Fast Food
Krystal ,Fast Food
LaMar's Donuts ,Fast Food
Larry's Giant Subs ,Fast Food
Lenny's Sub Shop ,Fast Food
Long John Silver,Fast Food
Lyon's ,Fast Food
Maid-Rite ,Fast Food
Manchu Wok ,Fast Food
Mcdonalds,Fast Food
McDonald ,Fast Food
McDonald's,Fast Food
Mighty Taco ,Fast Food
Milio's Sandwiches ,Fast Food
Milo's Hamburgers ,Fast Food
Mr. Hero ,Fast Food
Mrs. Winner's Chicken & Biscuits ,Fast Food
Nathan's Famous ,Fast Food
Nedick's ,Fast Food
Nu Way Cafe ,Fast Food
Nu-Way Weiners ,Fast Food
Orange Julius ,Fast Food
Original Tommy's ,Fast Food
Pal's ,Fast Food
Pioneer Chicken ,Fast Food
Pollo Tropical,Fast Food
Popeye's,Fast Food
Popeyes ,Fast Food
Port of Subs ,Fast Food
Portillo's  ,Fast Food
Quizono's,Fast Food
Quiznos ,Fast Food
Raising Cane's,Fast Food
Rally's ,Fast Food
Ranch1 ,Fast Food
Red Burrito ,Fast Food
Roy Rogers Restaurants ,Fast Food
Runza ,Fast Food
Saladworks ,Fast Food
Sheetz ,Fast Food
Skippers  ,Fast Food
Smoothie King ,Fast Food
Sneaky Pete's ,Fast Food
Sonic ,Fast Food
Sonic Drive-In ,Fast Food
Spangles ,Fast Food
Steak-N-Shake ,Fast Food
Steak 'n Shake ,Fast Food
Steak & Shake ,Fast Food
Steak Escape ,Fast Food
Submarina ,Fast Food
Subway ,Fast Food
Taco Bell,Fast Food
Taco Bueno ,Fast Food
Taco Cabana ,Fast Food
Taco del Mar ,Fast Food
Taco Mayo ,Fast Food
Taco Tico ,Fast Food
Taco Time ,Fast Food
Ted's Hot Dogs ,Fast Food
Texadelphia ,Fast Food
The Hat ,Fast Food
The Original Hamburger Stand ,Fast Food
The Varsity ,Fast Food
The Whole Donut ,Fast Food
Togo's ,Fast Food
Tudor's Biscuit World ,Fast Food
wendys,Fast Food
Wendy's,Fast Food
Wendy's Restaurant,Fast Food
Wetzel's Pretzels ,Fast Food
Whataburger ,Fast Food
White Castle ,Fast Food
Wienerschnitzel ,Fast Food
Winchell's Donuts ,Fast Food
WingStreet ,Fast Food
Winstead's ,Fast Food
Woody's Chicago Style ,Fast Food
Yum-Yum Donuts ,Fast Food
Amy's Ice Creams ,Ice Cream
Andy's Frozen Custard ,Ice Cream
Angelo Brocato's ,Ice Cream
Australian Homemade ,Ice Cream
Bakdash ,Ice Cream
Baskin-Robbins ,Ice Cream
Beacon Drive In ,Ice Cream
Ben & Jerry's  ,Ice Cream
Berthillon ,Ice Cream
Braum's ,Ice Cream
Brigham's Ice Cream ,Ice Cream
Bruster's Ice Cream ,Ice Cream
Cadwalader's Ice Cream ,Ice Cream
Carl's Ice Cream ,Ice Cream
Carvel ,Ice Cream
Ciao Bella Gelato Company ,Ice Cream
Cold Stone Creamery ,Ice Cream
Coney Island ,Ice Cream
Cows ,Ice Cream
Diddy Riese ,Ice Cream
Dipper Dan ,Ice Cream
Dippin' Dots ,Ice Cream
Emack & Bolio's ,Ice Cream
Fentons Creamery ,Ice Cream
Fosters Freeze ,Ice Cream
Four Seas Ice Cream ,Ice Cream
Friendly's ,Ice Cream
Frost , Ice Cream
A Gelato Shoppe,Ice Cream
G&D_s ,Ice Cream
Gilles Frozen Custard ,Ice Cream
Giolitti ,Ice Cream
Graeter's ,Ice Cream
Haagen-Dazs ,Ice Cream
Handel's Homemade Ice Cream & Yogurt ,Ice Cream
Herrell's Ice Cream ,Ice Cream
High's Dairy Store ,Ice Cream
JP Licks ,Ice Cream
KaleidoScoops ,Ice Cream
Kopp's Frozen Custard ,Ice Cream
Lappert's ,Ice Cream
Lares Ice Cream Parlor ,Ice Cream
Laura Secord Chocolates ,Ice Cream
Leon's Frozen Custard ,Ice Cream
MaggieMoo's Ice Cream and Treatery ,Ice Cream
Marble Slab Creamery ,Ice Cream
Margie's Candies ,Ice Cream
Mauds Ice Cream ,Ice Cream
Max and Mina's ,Ice Cream
Maypole Ice Cream ,Ice Cream
Meadows Frozen Custard ,Ice Cream
Movenpick Ice Cream ,Ice Cream
New Zealand Natural ,Ice Cream
Newport Creamery ,Ice Cream
Oberweis Dairy ,Ice Cream
Penn State University Creamery ,Ice Cream
Piccomolo Ice Cream ,Ice Cream
Polish Water Ice ,Ice Cream
Rita's Italian Ice ,Ice Cream
San Francisco Creamery ,Ice Cream
Sanders Confectionery ,Ice Cream
Sarris Candies ,Ice Cream
Shake's Frozen Custard ,Ice Cream
SnoWizard ,Ice Cream
Steve's Ice Cream ,Ice Cream
Strickland's Frozen Custard ,Ice Cream
Swensen's Ice Cream ,Ice Cream
Tastee-Freez ,Ice Cream
TCBY ,Ice Cream
Ted Drewes ,Ice Cream
Toscanini's ,Ice Cream
Twistee Treat ,Ice Cream
Vic's Ice Cream ,Ice Cream
Wall's ice cream ,Ice Cream
Wemple and Edicks ,Ice Cream
Supa Sundaes ,Ice Cream
Wheeler's Frozen Dessert Co. ,Ice Cream
Whitey's Ice Cream ,Ice Cream
Yogen Fruz ,Ice Cream
Yogurtland ,Ice Cream
America's Incredible Pizza Company ,Pizza
Anthony's Pizza ,Pizza
Arni's Restaurant ,Pizza
Aurelio's Pizza ,Pizza
Bearno's ,Pizza
Blackjack Pizza ,Pizza
Boston Pizza ,Pizza
Buddy's Pizza ,Pizza
Bullwinkle's Restaurant ,Pizza
Cassano's Pizza King ,Pizza
Chuck E. Cheese's ,Pizza
Chuck E Cheese ,Pizza
CiCi's Pizza ,Pizza
CraftWorks Restaurants & Breweries ,Pizza
D.P. Dough ,Pizza
Dion's ,Pizza
Domino's Pizza ,Pizza
Donatos Pizza ,Pizza
DoubleDave's Pizzaworks ,Pizza
East of Chicago Pizza ,Pizza
Eatza Pizza ,Pizza
Extreme Pizza ,Pizza
Fox's Pizza Den ,Pizza
Gatti's Pizza ,Pizza
Gino's East ,Pizza
Gino's Pizza and Spaghetti ,Pizza
Giordano's Pizzeria ,Pizza
Godfather's Pizza ,Pizza
Happy's Pizza ,Pizza
Home Run Inn ,Pizza
Hungry Howie's Pizza ,Pizza
Imo's Pizza ,Pizza
Jerry's Subs & Pizza ,Pizza
John's Incredible Pizza ,Pizza
LaRosa's Pizzeria ,Pizza
Ledo Pizza ,Pizza
Little Caesars ,Pizza
Lou Malnati's Pizzeria ,Pizza
Marco's Pizza ,Pizza
Marion's Piazza ,Pizza
Mazzio's ,Pizza
Mellow Mushroom ,Pizza
Monical's Pizza ,Pizza
Mountain Mike's Pizza ,Pizza
Mr. Jim's Pizza ,Pizza
Nic-o-boli ,Pizza
Noble Roman's ,Pizza
Old Chicago  ,Pizza
Pacpizza ,Pizza
Pagliacci Pizza ,Pizza
Papa Gino's ,Pizza
Papa John's Pizza ,Pizza
Papa Murphy's ,Pizza
Pat's Pizza ,Pizza
Peter Piper Pizza ,Pizza
Pizza Fusion ,Pizza
Pizza Hut ,Pizza
Pizza Inn ,Pizza
Pizza My Heart ,Pizza
Pizza Pan ,Pizza
Pizza Patron ,Pizza
Pizza Ranch ,Pizza
Pizza Schmizza ,Pizza
Pizzeria Venti ,Pizza
Planet Pizza ,Pizza
Regina Pizzeria ,Pizza
Rocky Rococo ,Pizza
Rosati's ,Pizza
Round Table Pizza ,Pizza
Sal's Pizza ,Pizza
Sammy's Pizza ,Pizza
Sbarro ,Pizza
Shakey's Pizza ,Pizza
Showbiz Pizza Place ,Pizza
Snappy Tomato Pizza ,Pizza
Toppers Pizza ,Pizza
Vocelli Pizza ,Pizza
